Spectral Radiance calculated by Planck's Radiation Law and its 
low frequency approximation at a temperature of T = 2.73 K.

NB: Spectral Radiance and LF Approx. have units W.m^-2.Hz^-1.sr^-1
Frequency (GHz)      Spectral Radiance    Low Freq. Approx.    
1.00000e-09          8.38765e-40          8.38763e-40          
2.00401e-02          3.36792e-25          3.36851e-25          
4.00802e-02          1.34693e-24          1.34741e-24          
6.01202e-02          3.03006e-24          3.03166e-24          
8.01603e-02          5.38582e-24          5.38962e-24          
1.00200e-01          8.41387e-24          8.42128e-24          
1.20240e-01          1.21138e-23          1.21266e-23          
1.40281e-01          1.64854e-23          1.65057e-23          
1.60321e-01          2.15281e-23          2.15585e-23          
1.80361e-01          2.72417e-23          2.72850e-23          
2.00401e-01          3.36258e-23          3.36851e-23          
2.20441e-01          4.06801e-23          4.07590e-23          
2.40481e-01          4.84041e-23          4.85066e-23          
2.60521e-01          5.67976e-23          5.69279e-23          
2.80561e-01          6.58602e-23          6.60229e-23          
3.00601e-01          7.55915e-23          7.57915e-23          
3.20641e-01          8.59911e-23          8.62339e-23          
3.40681e-01          9.70588e-23          9.73500e-23          
3.60721e-01          1.08794e-22          1.09140e-22          
3.80762e-01          1.21197e-22          1.21603e-22          
4.00802e-01          1.34266e-22          1.34741e-22          
4.20842e-01          1.48003e-22          1.48551e-22          
4.40882e-01          1.62405e-22          1.63036e-22          
4.60922e-01          1.77473e-22          1.78194e-22          
4.80962e-01          1.93207e-22          1.94026e-22          
5.01002e-01          2.09606e-22          2.10532e-22          
5.21042e-01          2.26670e-22          2.27711e-22          
5.41082e-01          2.44399e-22          2.45565e-22          
5.61122e-01          2.62791e-22          2.64091e-22          
5.81162e-01          2.81847e-22          2.83292e-22          
6.01202e-01          3.01567e-22          3.03166e-22          
6.21242e-01          3.21950e-22          3.23714e-22          
6.41283e-01          3.42995e-22          3.44936e-22          
6.61323e-01          3.64703e-22          3.66831e-22          
6.81363e-01          3.87073e-22          3.89400e-22          
7.01403e-01          4.10104e-22          4.12643e-22          
7.21443e-01          4.33797e-22          4.36559e-22          
7.41483e-01          4.58150e-22          4.61149e-22          
7.61523e-01          4.83165e-22          4.86413e-22          
7.81563e-01          5.08839e-22          5.12351e-22          
8.01603e-01          5.35174e-22          5.38962e-22          
8.21643e-01          5.62167e-22          5.66247e-22          
