T (GK)    Nuclear Rates (cm^3.mol^-1.s^-1)
          Minimum   Recommended   Maximum
0.0100    7.35e-29    7.45e-25    1.20e-21
0.0106    1.18e-27    8.24e-24    8.80e-21
0.0113    1.59e-26    7.84e-23    5.69e-20
0.0121    1.82e-25    6.46e-22    3.27e-19
0.0129    1.78e-24    4.66e-21    1.68e-18
0.0137    1.51e-23    2.96e-20    7.77e-18
0.0146    1.12e-22    1.67e-19    3.25e-17
0.0155    7.31e-22    8.44e-19    1.24e-16
0.0165    4.23e-21    3.84e-18    4.34e-16
0.0176    2.18e-20    1.59e-17    1.40e-15
0.0187    1.02e-19    5.97e-17    4.17e-15
0.0199    4.28e-19    2.06e-16    1.16e-14
0.0212    1.64e-18    6.57e-16    3.00e-14
0.0226    5.77e-18    1.94e-15    7.31e-14
0.0241    1.87e-17    5.32e-15    1.68e-13
0.0256    5.59e-17    1.37e-14    3.63e-13
0.0273    1.56e-16    3.30e-14    7.46e-13
0.0291    4.06e-16    7.49e-14    1.46e-12
0.0310    9.92e-16    1.61e-13    2.73e-12
0.0330    2.28e-15    3.28e-13    4.87e-12
0.0351    4.96e-15    6.38e-13    8.36e-12
0.0374    1.02e-14    1.18e-12    1.38e-11
0.0398    2.01e-14    2.10e-12    2.20e-11
0.0424    3.75e-14    3.58e-12    3.38e-11
0.0451    6.73e-14    5.88e-12    5.03e-11
0.0480    1.16e-13    9.31e-12    7.28e-11
0.0511    1.95e-13    1.43e-11    1.02e-10
0.0545    3.33e-13    2.12e-11    1.40e-10
0.0580    6.50e-13    3.06e-11    1.87e-10
0.0617    1.72e-12    4.37e-11    2.45e-10
0.0657    5.94e-12    6.34e-11    3.17e-10
0.0700    2.10e-11    1.02e-10    4.13e-10
0.0745    8.19e-11    2.03e-10    5.74e-10
0.0794    3.10e-10    5.24e-10    9.47e-10
0.0845    1.08e-09    1.57e-09    2.37e-09
0.0900    3.50e-09    4.85e-09    6.84e-09
0.0958    1.07e-08    1.46e-08    1.97e-08
0.1020    3.11e-08    4.17e-08    5.55e-08
0.1086    8.58e-08    1.13e-07    1.47e-07
0.1157    2.24e-07    2.90e-07    3.69e-07
0.1232    5.54e-07    7.05e-07    8.79e-07
0.1311    1.30e-06    1.63e-06    1.99e-06
0.1396    2.91e-06    3.59e-06    4.30e-06
0.1487    6.21e-06    7.55e-06    8.89e-06
0.1583    1.27e-05    1.52e-05    1.76e-05
0.1686    2.49e-05    2.95e-05    3.41e-05
0.1795    4.73e-05    5.51e-05    6.67e-05
0.1911    8.56e-05    1.00e-04    1.32e-04
0.2035    1.51e-04    1.81e-04    2.89e-04
0.2167    2.61e-04    3.30e-04    7.13e-04
0.2307    4.53e-04    6.37e-04    1.91e-03
0.2457    8.05e-04    1.34e-03    5.28e-03
0.2616    1.47e-03    3.09e-03    1.44e-02
0.2785    2.87e-03    7.59e-03    3.78e-02
0.2966    6.05e-03    1.90e-02    9.43e-02
0.3158    1.36e-02    4.67e-02    2.23e-01
0.3363    3.16e-02    1.11e-01    5.01e-01
0.3581    7.39e-02    2.54e-01    1.07e+00
0.3813    1.70e-01    5.54e-01    2.16e+00
0.4060    3.80e-01    1.15e+00    4.44e+00
0.4323    8.19e-01    2.30e+00    8.82e+00
0.4603    1.70e+00    4.39e+00    1.68e+01
0.4901    3.39e+00    8.06e+00    3.05e+01
0.5218    6.33e+00    1.43e+01    5.33e+01
0.5556    1.10e+01    2.43e+01    8.97e+01
0.5916    1.84e+01    4.02e+01    1.46e+02
0.6300    3.02e+01    6.43e+01    2.29e+02
0.6708    4.82e+01    9.99e+01    3.48e+02
0.7142    7.49e+01    1.51e+02    5.14e+02
0.7605    1.14e+02    2.22e+02    7.37e+02
0.8098    1.68e+02    3.19e+02    1.03e+03
0.8622    2.43e+02    4.48e+02    1.40e+03
0.9181    3.44e+02    6.15e+02    1.86e+03
0.9776    4.76e+02    8.26e+02    2.42e+03
1.0409    6.44e+02    1.09e+03    3.08e+03
1.1083    8.54e+02    1.41e+03    3.85e+03
1.1801    1.11e+03    1.78e+03    4.72e+03
1.2566    1.42e+03    2.22e+03    5.68e+03
1.3380    1.78e+03    2.73e+03    6.73e+03
1.4247    2.20e+03    3.30e+03    7.85e+03
1.5170    2.68e+03    3.94e+03    9.03e+03
1.6153    3.22e+03    4.64e+03    1.03e+04
1.7199    3.78e+03    5.40e+03    1.15e+04
1.8314    4.41e+03    6.21e+03    1.28e+04
1.9500    5.08e+03    7.08e+03    1.41e+04
2.0763    5.81e+03    7.99e+03    1.54e+04
2.2109    6.58e+03    8.94e+03    1.66e+04
2.3541    7.40e+03    9.93e+03    1.79e+04
2.5066    8.27e+03    1.09e+04    1.91e+04
2.6690    9.17e+03    1.20e+04    2.02e+04
2.8419    1.01e+04    1.30e+04    2.13e+04
3.0260    1.09e+04    1.41e+04    2.24e+04
3.2221    1.18e+04    1.52e+04    2.34e+04
3.4308    1.27e+04    1.62e+04    2.44e+04
3.6531    1.35e+04    1.72e+04    2.52e+04
3.8897    1.44e+04    1.82e+04    2.63e+04
4.1417    1.52e+04    1.91e+04    2.75e+04
4.4101    1.60e+04    1.99e+04    2.85e+04
4.6958    1.67e+04    2.07e+04    2.93e+04
5.0000    1.73e+04    2.14e+04    3.00e+04
